split,inflation,group,cases,covered,total,coverage,coverage_ci95_low,coverage_ci95_high,mean_width_usd
confirmation,8.0,stage2plus,208,46978,47244,0.9943696554059774,0.9905802839207709,0.9972816013743376,874.7474231968395
confirmation,deterministic,stage2plus,208,47170,47244,0.9984336635339938,0.9958148628418823,0.9998970272800475,1084.0046284776045
confirmation,1.0,stage2plus_lower,131,30850,32312,0.9547536518940332,0.9404294275904965,0.9665705888841828,194.1914814528137
confirmation,1.15,stage2plus_lower,131,31468,32312,0.9738796731864323,0.9638779197789104,0.9820325210669135,223.31692538103013
confirmation,1.3,stage2plus_lower,131,31725,32312,0.9818333745976727,0.9726375370940044,0.988740551424978,252.39506222835882
confirmation,1.5,stage2plus_lower,131,31857,32312,0.9859185441941074,0.9779594442389333,0.9919735470569346,289.5566720146028
confirmation,1.75,stage2plus_lower,131,31903,32312,0.987342163901956,0.9794410923872404,0.9932109044139591,330.0704093559307
confirmation,10.0,stage2plus_lower,131,32059,32312,0.9921700916068333,0.9868647744384333,0.996208010484136,645.2591987263128
confirmation,12.0,stage2plus_lower,131,32070,32312,0.9925105224065363,0.98743107783977,0.9964257042386604,664.3648000431809
confirmation,16.0,stage2plus_lower,131,32090,32312,0.9931294874969052,0.9885026608859261,0.9966403111934267,691.39701094122
confirmation,2.0,stage2plus_lower,131,31938,32312,0.9884253528101015,0.9809771507435413,0.9941220990978549,365.6253491710632
confirmation,2.5,stage2plus_lower,131,31988,32312,0.9899727655360238,0.9831495617395312,0.9950906664561981,424.8816259245354
confirmation,24.0,stage2plus_lower,131,32097,32312,0.9933461252785343,0.9888171137480919,0.9967405939668725,721.5222787871809
confirmation,3.0,stage2plus_lower,131,32005,32312,0.9904988858628373,0.9840137046632659,0.995544335737579,467.06085809770343
confirmation,4.0,stage2plus_lower,131,32026,32312,0.9911487992077247,0.9849513427165477,0.9958316687719678,519.5021275924308
confirmation,5.0,stage2plus_lower,131,32030,32312,0.9912725922257984,0.9853335602606043,0.9959237563522202,554.9610220274477
confirmation,6.0,stage2plus_lower,131,32050,32312,0.9918915573161674,0.9864425208812025,0.9960572723184408,581.5706173596543
confirmation,8.0,stage2plus_lower,131,32053,32312,0.9919844020797227,0.9864835541595877,0.996197281224441,619.1243928238713
confirmation,deterministic,stage2plus_lower,131,32238,32312,0.9977098291656351,0.993924996061414,0.9998529562491842,830.4064517018604
confirmation,1.0,stage2plus_upper,77,14228,14932,0.9528529332976159,0.9319235744653183,0.9708801843519337,397.9746056854455
confirmation,1.15,stage2plus_upper,77,14582,14932,0.9765604071792124,0.9658960114082409,0.9856500370262353,457.6507585824111
confirmation,1.3,stage2plus_upper,77,14754,14932,0.9880792927939994,0.9808761485223785,0.9936296916477568,517.3230283285005
confirmation,1.5,stage2plus_upper,77,14866,14932,0.9955799624966515,0.990604878412357,0.998696412126195,595.7809918464137
confirmation,1.75,stage2plus_upper,77,14906,14932,0.9982587731047415,0.9964200324728832,0.9994849881120199,688.8004802933086
confirmation,10.0,stage2plus_upper,77,14926,14932,0.9995981784087865,0.9989885356841012,1.0,1463.6876922141334
confirmation,12.0,stage2plus_upper,77,14926,14932,0.9995981784087865,0.9989867453620171,1.0,1485.8129756528542
confirmation,16.0,stage2plus_upper,77,14926,14932,0.9995981784087865,0.998991654254412,1.0,1511.8131337651844
confirmation,2.0,stage2plus_upper,77,14916,14932,0.998928475756764,0.9977447336002784,0.9997209451582177,775.115217278983
confirmation,2.5,stage2plus_upper,77,14920,14932,0.999196356817573,0.9981914043255853,0.9998752522220921,924.139922470802
confirmation,24.0,stage2plus_upper,77,14926,14932,0.9995981784087865,0.9989946770418525,1.0,1533.3602724822315
confirmation,3.0,stage2plus_upper,77,14922,14932,0.9993302973479775,0.9984765875561257,0.9998754448704159,1041.088437001987
confirmation,4.0,stage2plus_upper,77,14924,14932,0.999464237878382,0.9987026397139572,0.9999385386945896,1201.413869013282
confirmation,5.0,stage2plus_upper,77,14925,14932,0.9995312081435842,0.9988960940570049,0.999939159240484,1298.8960772286405
confirmation,6.0,stage2plus_upper,77,14925,14932,0.9995312081435842,0.998899786240169,0.9999394058610819,1359.8427054856727
confirmation,8.0,stage2plus_upper,77,14925,14932,0.9995312081435842,0.9989182796286021,0.9999384312276813,1427.9011438914115
confirmation,deterministic,stage2plus_upper,77,14932,14932,1.0,1.0,1.0,1632.7766809808081
confirmation,1.0,standard,600,85738,108562,0.7897606897441094,0.7704948263803986,0.8081019064243774,265.86405704430854
confirmation,1.15,standard,600,87283,108562,0.8039921887953427,0.784983610106155,0.822522799375022,304.926921815255
confirmation,1.3,standard,600,88758,108562,0.8175788950093035,0.7979840737356311,0.8364493205147565,336.199275663073
confirmation,1.5,standard,600,90120,108562,0.830124721357381,0.8097824558264465,0.8496286388417181,368.3716434608744
confirmation,1.75,standard,600,91093,108562,0.8390873417954717,0.8188770352158451,0.8584324645530836,400.73110261232614
confirmation,10.0,standard,600,94692,108562,0.8722389049575358,0.8558719054647569,0.8878490322293163,558.2067605708208
confirmation,12.0,standard,600,94796,108562,0.8731968828871981,0.8568837201345024,0.8887235697226641,561.7435916910993
confirmation,16.0,standard,600,94930,108562,0.874431200604263,0.8584958457915641,0.8898513706023176,566.1910228851812
confirmation,2.0,standard,600,91790,108562,0.8455076361894586,0.8254405478005017,0.8645203640946352,426.12591691526666
confirmation,2.5,standard,600,92690,108562,0.8537978298115363,0.8346975588957494,0.871895836472491,462.9267525795302
confirmation,24.0,standard,600,95101,108562,0.8760063373924578,0.8602352776543658,0.891147086307806,570.68927152853
confirmation,3.0,standard,600,93225,108562,0.8587258893535491,0.8397972538198717,0.8761913282904898,487.5175730940296
confirmation,4.0,standard,600,93732,108562,0.8633960317606529,0.8454850911180176,0.8806635350017348,516.6865985130725
confirmation,5.0,standard,600,94052,108562,0.8663436561596138,0.8490109045138223,0.8830976327488073,532.6853592633131
confirmation,6.0,standard,600,94216,108562,0.8678543136640814,0.850780054860417,0.884381780356849,542.3033249762956
confirmation,8.0,standard,600,94544,108562,0.8708756286730164,0.8544003265084736,0.8864597236091083,552.728859684794
confirmation,deterministic,standard,600,95654,108562,0.8811002008069122,0.8656829660526393,0.8954373084792167,588.6333576878039
development,1.0,all,300,84592,99950,0.8463431715857929,0.8289197267168875,0.8626793089086322,253.63317884141682
development,1.15,all,300,86294,99950,0.8633716858429215,0.8458422732857421,0.879378768734067,291.23408766028894
development,1.3,all,300,87657,99950,0.8770085042521261,0.8591204723225974,0.8928805526136928,325.3476232189581
development,1.5,all,300,88683,99950,0.8872736368184092,0.8694534302451804,0.9030920521656798,366.1467335726889
development,1.75,all,300,89478,99950,0.8952276138069034,0.8777728746951526,0.9112748645981942,410.6554576589542
development,10.0,all,300,91944,99950,0.9198999499749875,0.9060277766716736,0.932568739068925,709.0067367536604
development,12.0,all,300,92023,99950,0.9206903451725863,0.9070950695523394,0.932998889847352,720.3518799565004
development,16.0,all,300,92104,99950,0.9215007503751876,0.908003685656725,0.9337065528286994,734.4652255531852
development,2.0,all,300,89946,99950,0.8999099549774887,0.8830809238435144,0.9153550136693286,448.5442696167234
development,2.5,all,300,90522,99950,0.9056728364182091,0.8896222940396791,0.9200683720100984,508.7141323014343
development,24.0,all,300,92247,99950,0.9229314657328664,0.9098123614225433,0.9348851807042716,748.0180366758323
development,3.0,all,300,90888,99950,0.9093346673336669,0.8935571769803357,0.9233221369808541,552.5914101491428
development,4.0,all,300,91306,99950,0.9135167583791896,0.89869203952704,0.9270643660694253,609.1578079586272
development,5.0,all,300,91584,99950,0.9162981490745372,0.9018163363270646,0.9292087413144753,642.5332311558611
development,6.0,all,300,91698,99950,0.9174387193596798,0.9030075705814505,0.9299733973732158,664.4401182665817
development,8.0,all,300,91842,99950,0.91887943971986,0.9048345349687099,0.9315822641241883,692.145003608378
development,deterministic,all,300,93000,99950,0.9304652326163082,0.9185330743098845,0.9413617497512707,806.8693640323174
development,1.0,expanded,213,43233,48716,0.8874497085146563,0.8600233263571159,0.9107710663551374,247.0967579144975
development,1.15,expanded,213,44158,48716,0.9064373101239839,0.8793644262671837,0.929155889770135,284.14233354990586
development,1.3,expanded,213,44766,48716,0.9189178093439527,0.891538928226812,0.9411410451604256,321.1530249588167
development,1.5,expanded,213,45193,48716,0.9276828967895558,0.9012209668273147,0.9495091795116548,369.10145132145067
development,1.75,expanded,213,45486,48716,0.9336973478939158,0.9074733467681176,0.9545920938539684,423.61714580971375
development,10.0,expanded,213,46465,48716,0.9537934148944905,0.9327490391198172,0.9695127552660054,849.0210856390491
development,12.0,expanded,213,46521,48716,0.9549429345594876,0.933980230675477,0.970101630223191,868.6605473434705
development,16.0,expanded,213,46581,48716,0.9561745627719845,0.9361420450166791,0.9711478267983692,893.5539360810102
development,2.0,expanded,213,45653,48716,0.9371253797520321,0.9118800191587306,0.9572528643445629,471.92944327358725
development,2.5,expanded,213,45834,48716,0.9408407915263979,0.9162539130978059,0.9601569615980727,551.7563429012787
